series_id,year,period,value,footnote_codes,date,series_title
LNS14100026,1970,M01,3.9,nan,1970-01-01,"(Seas) Unemployment Rate  Full-Time Workers 20 yrs. & over, Women"
LNU04000004,1970,M01,3.6,nan,1970-01-01,(Unadj) Unemployment Rate - White Men
LNU04023621,1970,M01,2.0,nan,1970-01-01,(Unadj) Unemployment Rate - Job Losers
LNU04000041,1970,M01,6.1,nan,1970-01-01,"(Unadj) Unemployment Rate - 20-24 yrs., White Women"
LNU04000093,1970,M01,2.5,nan,1970-01-01,(Unadj) Unemployment Rate - 45-54 yrs.
LNU04000061,1970,M01,2.6,nan,1970-01-01,"(Unadj) Unemployment Rate - 25-54 yrs., Men"
LNS14200012,1970,M01,12.6,nan,1970-01-01,(Seas) Unemployment Rate  Part-Time Workers 16-19 yrs.
LNU04000003,1970,M01,3.9,nan,1970-01-01,(Unadj) Unemployment Rate - White
LNU04024230,1970,M01,2.4,nan,1970-01-01,(Unadj) Unemployment Rate - 55 yrs. & over
LNU04200002,1981,M12,5.5,nan,1981-12-01,(Unadj) Unemployment Rate - Part-Time Labor Force Women
LNU04000189,1981,M12,4.4,nan,1981-12-01,"(Unadj) Unemployment Rate - 55-59 yrs., Men"
LNU04024709,1981,M12,5.6,nan,1981-12-01,"(Unadj) Unemployment Rate - Married 20-64 yrs., White Women"
LNU04025033,1981,M12,5.4,nan,1981-12-01,"(Unadj) Unemployment Rate - Married, Spouse Present, 25 yrs. & over, Women"
LNU04000454,1981,M12,40.7,nan,1981-12-01,"(Unadj) Unemployment Rate - 16-17 yrs., Black or African American Women"
LNU04000096,1981,M12,4.0,nan,1981-12-01,(Unadj) Unemployment Rate - 60-64 yrs.
LNU04023561,1981,M12,1.5,nan,1981-12-01,(Unadj) Unemployment Rate - Reentrants to Labor Force White
LNS14024885,1981,M12,17.2,nan,1981-12-01,"(Seas) Unemployment Rate - 16-24 yrs., Men"
LNU04000368,1981,M12,17.5,nan,1981-12-01,"(Unadj) Unemployment Rate -  55-59 yrs., Hispanic or Latino Women"
LNU04025030,1981,M12,9.6,nan,1981-12-01,"(Unadj) Unemployment Rate - Married, Spouse Present, 25 yrs. & over, Black or African American Men"
LNU04000016,1981,M12,21.4,nan,1981-12-01,"(Unadj) Unemployment Rate - 16-19 yrs., White Men"
LNU04000037,1981,M12,14.5,nan,1981-12-01,"(Unadj) Unemployment Rate - 20-24 yrs., Men"
LNU04025669,1981,M12,5.8,nan,1981-12-01,(Unadj) Unemployment Rate - Married
